job,skill
Community Health Worker,Communication Skills Writing Microsoft Excel Planning Building Effective Relationships Bilingual Team Work/ Collaboration Teaching Organizational Skills English Communication Skills Planning Building Effective Relationships Team Work/ Collaboration Teaching Communication Skills Planning Building Effective Relationships Team Work/ Collaboration Teaching Communication Skills Planning Building Effective Relationships Team Work/ Collaboration Teaching
Compensation / Benefits Analyst,Microsoft Excel Communication Skills Writing Research Detail-Oriented Microsoft Office Problem Solving Organizational Skills HRIS Microsoft Powerpoint Communication Skills Problem Solving Organizational Skills Project Management Team Work/ Collaboration HRIS Benefits Administration Benefits Analysis COBRA Business Administration
Compensation and Benefits Manager,Communication Skills Microsoft Excel Writing Problem Solving Planning Budgeting Microsoft Office Project Management Team Work/ Collaboration Research Communication Skills Problem Solving Project Management Team Work/ Collaboration Organizational Skills Supervisory Skills Customer Service Staff Management Business Administration Business Strategy
Compliance Auditor,Communication Skills Writing Legal Compliance Microsoft Excel Compliance Auditing Audit Planning Accounting Planning Audit Reports Research Internal Auditing Audit Planning Audit Reports Risk Management Business Process Microsoft Excel Microsoft Office Data Analysis Spreadsheets Microsoft Excel Microsoft Office Data Analysis Spreadsheets
Compliance Manager,Communication Skills Writing Compliance Management Legal Compliance Team Work/ Collaboration Microsoft Excel Project Management Problem Solving Microsoft Office Organizational Skills Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Compliance Officer / Analyst,Communication Skills Writing Microsoft Excel Research Detail-Oriented Organizational Skills Microsoft Office Legal Compliance Problem Solving Microsoft Powerpoint Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Computer Operator ,Communication Skills Scheduling Computer Skills Problem Solving Troubleshooting Microsoft Office Data Management Mainframe Customer Service Printers Communication Skills Computer Skills Problem Solving Data Management Mainframe Data Management Customer Service Printers Technical Support Microsoft Windows Data Management Technical Support System Administration Help Desk Support Information Systems
Computer Programmer ,SQL Communication Skills JAVA Writing Software Development Problem Solving JavaScript .NET Programming Oracle Microsoft C# Problem Solving Troubleshooting Planning Technical Support Web Development Software Development Microsoft C# C++ Software Engineering Debugging Software Development JavaScript Web Development Software Engineering Debugging
Computer Repair Technician ,PC Support Troubleshooting Repair Hardware and Software Installation Technical Support Computer Hardware/Software Knowledge Printers Computer Skills Problem Solving Customer Service Technical Support Communication Skills Help Desk Support Problem Solving Repair Technical Support Customer Service Help Desk Support Microsoft Windows Hardware and Software Installation Customer Service Help Desk Support Hardware and Software Installation Printers It Support
Computer Scientist ,Research Communication Skills Writing Team Work/ Collaboration Mathematics C++ Software Development Python Data Analysis JAVA Mathematics C++ Software Development Software Engineering Physics Software Development Python Data Management Information Systems Debugging Software Development Python Data Management Information Systems Debugging
Computer Scientist / Researcher ,Research Communication Skills Writing C++ Software Development Mathematics Python JAVA Team Work/ Collaboration Software Engineering Mathematics C++ Software Development Software Engineering Physics Software Development Python Data Management Information Systems Debugging Software Development Python Data Management Information Systems Debugging
Computer Support Specialist ,Technical Support Troubleshooting Communication Skills Customer Service Help Desk Support Problem Solving Microsoft Office Writing Repair Microsoft Windows Technical Support Communication Skills Help Desk Support Problem Solving Repair Technical Support Customer Service Help Desk Support Microsoft Windows Hardware and Software Installation Customer Service Help Desk Support Hardware and Software Installation Printers It Support
Computer Systems Engineer / Architect ,Systems Engineering Communication Skills Troubleshooting LINUX Writing Planning Problem Solving Team Work/ Collaboration SQL VMware Systems Engineering Communication Skills Problem Solving Research System Architecture System Architecture Information Systems Customer Service Domain Name System (DNS) Windows Server Systems Engineering System Architecture Technical Support Systems Integration System Design
Concierge,Communication Skills Physical Demand Customer Service Telephone Skills Building Effective Relationships Organizational Skills Computer Skills Guest Services Writing Scheduling Customer Service Scheduling Customer Contact Appointment Setting Hospitality Industry Experience
Concrete Finisher,Concrete Finishing Hand Tools Power Tools Repair Physical Demand Concrete Pouring Hammering Concrete Forms Calculation Rebar Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Configuration Analyst / Specialist ,Configuration Management Communication Skills Hardware and Software Configuration Writing Problem Solving Microsoft Excel Microsoft Office Detail-Oriented Planning Software Development Communication Skills Systems Analysis Problem Solving Business Process Business Analysis Systems Analysis Business Process Business Analysis Business Systems Analysis Business Systems Information Systems Customer Service Technical Support Data Management Enterprise Resource Planning (ERP)
Conservation Scientists / Park Ranger,Writing Communication Skills Research Natural Resource Management Scheduling Natural Sciences Business Administration Planning Natural Resources Policy Implementation Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Construction / Building Inspector,Inspection Construction Inspection Writing Communication Skills Plumbing Repair Construction Management Microsoft Excel Quality Assurance and Control Scheduling Construction Inspection Plumbing Construction Management Building Codes Civil Engineering
Construction Foreman,Scheduling Supervisory Skills Communication Skills Repair Project Management Inspection Physical Demand Budgeting Occupational Health and Safety Planning Project Management Occupational Health and Safety Construction Management Project Planning and Development Skills Construction Industry Knowledge
Construction Helper / Worker,Repair Physical Demand Hand Tools Construction Labor Communication Skills Carpentry Power Tools Scheduling Plumbing Cleaning Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Construction Manager,Project Management Scheduling Budgeting Construction Management Communication Skills Planning Supervisory Skills Microsoft Excel Microsoft Office Writing Project Management Scheduling Budgeting Quality Assurance and Control Estimating Project Management Construction Management Occupational Health and Safety Project Planning and Development Skills Building Codes
Construction Office Manager,Organizational Skills Scheduling Construction Management Budgeting Office Management Project Management Detail-Oriented Problem Solving Customer Contact Estimating Office Management Microsoft Excel Budgeting Computer Skills Research Office Management Communication Skills Budgeting Detail-Oriented Problem Solving Office Management Microsoft Excel Budgeting Computer Skills Research
Construction Project Manager,Project Management Budgeting Construction Management Scheduling Communication Skills Planning Writing Microsoft Office Microsoft Excel Contract Management Project Management Budgeting Scheduling Project Planning and Development Skills Microsoft Project Project Management Budgeting Scheduling Project Planning and Development Skills Microsoft Project Project Management Budgeting Scheduling Project Planning and Development Skills Microsoft Excel
Contract Administrator,Contract Management Contract Administration Communication Skills Contract Preparation Writing Contract Review Microsoft Excel Procurement Microsoft Office Purchasing Contract Management Contract Administration Contract Preparation Contract Review Procurement
Contracts Analyst,Contract Management Contract Review Writing Microsoft Excel Communication Skills Contract Preparation Detail-Oriented Microsoft Office Research Purchasing Contract Management Contract Administration Contract Preparation Contract Review Procurement
Contracts Manager,Contract Management Communication Skills Contract Preparation Contract Review Writing Microsoft Excel Procurement Contract Negotiation Organizational Skills Microsoft Office Contract Management Contract Administration Contract Preparation Contract Review Procurement
Controller (General),Accounting Budgeting Financial Reporting Financial Statements Microsoft Excel Communication Skills Generally Accepted Accounting Principles (GAAP) General Ledger Planning Financial Analysis Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Controls / Valve Technician,Troubleshooting Repair Programmable Logic Controller (PLC) Programming Communication Skills HVAC Preventive Maintenance Microsoft Office Computer Skills Calibration Inspection Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Cook,Cooking Food Preparation Cleaning Food Safety Communication Skills Work Area Maintenance Scheduling Food Service Experience Organizational Skills Building Effective Relationships Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Copywriter,Copy Writing Writing Creativity Editing Communication Skills Journalism Detail-Oriented Team Work/ Collaboration Meeting Deadlines Social Media Copy Writing Writing Creativity Editing Communication Skills Copy Writing Writing Creativity Editing Communication Skills Copy Writing Journalism Creative Writing Marketing Communications Copy Editing
Corporate Trainer,Communication Skills Training Programs Writing Corporate Training Microsoft Office Training Materials Microsoft Powerpoint Microsoft Excel Customer Service Team Work/ Collaboration Scheduling Project Management Customer Service Supervisory Skills Staff Development Training Programs Teaching Customer Service Technical Training Supervisory Skills Training Programs Training Materials Workshops Staff Management Needs Assessment
Cost Accountant,Accounting Cost Accounting Microsoft Excel Account Reconciliation Budgeting Communication Skills General Ledger Month-End Close Processes Financial Reporting Generally Accepted Accounting Principles (GAAP) Accounting Account Reconciliation General Ledger Financial Statements Financial Reporting Microsoft Excel Microsoft Office Spreadsheets Data Entry Pivot Tables Microsoft Excel Microsoft Office Spreadsheets Data Entry Pivot Tables
Cost Accounting Manager,Cost Accounting Accounting Budgeting Microsoft Excel Financial Reporting Communication Skills Accounting Management Generally Accepted Accounting Principles (GAAP) Planning Financial Analysis Budgeting Financial Management Decision Making Cash Management
Costume / Wardrobe Attendant,Repair Sewing Wardrobe Maintenance Cleaning Communication Skills Laundry Organizational Skills English Team Work/ Collaboration Writing Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Counter / Rental Clerk ,Sales Customer Service Writing Retail Setting Communication Skills Cash Register Operation Store Operations English Organizational Skills Retail Industry Background Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Crane Operator,Inspection Forklift Operation Repair Crane Operation Occupational Health and Safety Machinery Hoisting Equipment Communication Skills Equipment Operation Mathematics Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Credit Analyst,Communication Skills Microsoft Excel Writing Financial Statements Customer Service Credit Risk Credit Analysis Financial Analysis Organizational Skills Accounting Credit Risk Credit Analysis Financial Analysis Accounting Commercial Lending
Credit Checker / Clerk,Communication Skills Microsoft Excel Writing Microsoft Office Customer Service Accounting Detail-Oriented Organizational Skills Building Effective Relationships Computer Skills Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Credit Manager,Communication Skills Microsoft Excel Writing Credit Risk Accounting Supervisory Skills Problem Solving Customer Accounts Organizational Skills Customer Service Credit Risk Credit Analysis Financial Analysis Accounting Commercial Lending
Credit Officer,Communication Skills Writing Microsoft Excel Credit Analysis Building Effective Relationships Credit Risk Financial Statements Organizational Skills Commercial Lending Risk Management Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Credit Specialist / Clerk,Microsoft Excel Communication Skills Accounting Customer Service Detail-Oriented Microsoft Office Writing Computer Skills Research Organizational Skills Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Criminal Investigator,Writing Inspection Planning Surveillance Communication Skills Supervisory Skills Building Effective Relationships Criminal Justice Law Enforcement or Criminal Justice Experience Organizational Skills Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Curator / Museum Director ,Research Writing Communication Skills Building Effective Relationships Budgeting Sales Planning Business Planning Strategic Marketing Organizational Skills Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Curriculum and Instructional Designer / Developer ,Instructional Design Communication Skills Writing Team Work/ Collaboration Teaching Project Management Research Microsoft Office Training Materials Articulate Teaching Customer Service Educational Programs Psychology
Customer Service Manager,Customer Service Communication Skills Supervisory Skills Writing Customer Contact Sales Problem Solving Computer Skills Scheduling Microsoft Excel Customer Service Customer Contact Sales Customer Retention Customer Experience Improvement Customer Service Project Management Customer Retention Customer Experience Improvement Process Improvement Customer Service Customer Contact Sales Customer Retention Customer Experience Improvement
Customer Service Representative,Customer Service Communication Skills Customer Contact Problem Solving Writing Computer Skills Detail-Oriented Microsoft Excel Sales Organizational Skills Microsoft Excel Microsoft Office Data Entry Microsoft Word Microsoft Powerpoint
Customer Service Representative (General),Customer Service Communication Skills Customer Contact Computer Skills Writing Problem Solving Sales Detail-Oriented Organizational Skills Microsoft Excel Microsoft Excel Microsoft Office Data Entry Microsoft Word Microsoft Powerpoint
Customs Broker,Organizational Skills Writing Detail-Oriented Microsoft Office Multi-Tasking Data Entry Communication Skills Tariffs Troubleshooting Microsoft Excel Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Cyber / Information Security Engineer / Analyst ,Information Security Communication Skills Writing Information Systems Network Security LINUX Planning Research Problem Solving Cryptography Information Security Communication Skills Information Systems Network Security Research Information Security Information Systems Network Security Cryptography Project Management Information Security Information Systems Network Security Cryptography Project Management
Cyber Crime Analyst / Investigator ,Writing Information Security Communication Skills Computer Forensics Research Problem Solving LINUX Detail-Oriented UNIX Transmission Control Protocol / Internet Protocol (TCP / IP) Information Security Communication Skills Information Systems  Research Information Security Information Systems  Cryptography Project Management Information Security Information Systems  Cryptography Project Management
Cyber Security Analyst ,Information Security Communication Skills Writing Research Information Systems Problem Solving LINUX Cryptography Network Security Project Management Information Security Communication Skills Information Systems  Research Information Security Information Systems  Cryptography Project Management Information Security Information Systems  Cryptography Project Management
Cyber Security Architect ,Information Security Communication Skills Network Security Writing Cryptography Research Planning Team Work/ Collaboration LINUX Project Management Information Security Communication Skills Information Systems Network Security Research Information Security Information Systems Network Security Cryptography Project Management Information Security Information Systems Network Security Cryptography Project Management
Cyber Security Consultant ,Communication Skills Writing Problem Solving Project Management Planning Information Security Oracle Microsoft Excel Microsoft Powerpoint Presentation Skills Communication Skills Problem Solving Business Process Research Budgeting Customer Service Information Systems Optimization Systems Integration Customer Contact Business Process Budgeting Information Systems Optimization Business Solutions
Cyber Security Engineer ,Information Security Communication Skills Writing Network Security LINUX Troubleshooting Research Problem Solving Planning Information Systems Information Security Communication Skills Information Systems Network Security Research Information Security Information Systems Network Security Cryptography Project Management Information Security Information Systems Network Security Cryptography Project Management
Cyber Security Manager / Administrator ,Information Security Communication Skills Information Systems Writing Planning Problem Solving Project Management LINUX Research Network Security Information Security Communication Skills Information Systems Network Security Research Information Security Information Systems Network Security Cryptography Project Management Information Security Information Systems Network Security Cryptography Project Management
Cyber Security Specialist / Technician ,Information Security Communication Skills Information Systems Writing Problem Solving Planning Information Assurance Network Security Research Detail-Oriented Information Security Communication Skills Information Systems Network Security Research Information Security Information Systems Network Security Cryptography Project Management Information Security Information Systems Network Security Cryptography Project Management
Cytogenetic Technologist / Cytotechnologist,Genetic Counseling Communication Skills Research Genetics Quality Assurance and Control Cancer knowledge Genetic Testing Cytology Pathology Writing Teaching Patient/Family Education and Instruction Data Entry  Clinical Research
DJ / Announcer,Music Budgeting Disk Jockey Communication Skills English Computer Skills Meeting Deadlines Writing Surveillance Lighting Set-Up Communication Skills English Computer Skills Writing Customer Service
Data / Data Mining Analyst,Data Analysis SQL Microsoft Excel Communication Skills Writing Research Problem Solving Detail-Oriented Team Work/ Collaboration Microsoft Office Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships artificial intelligence AI IOT
Data Analyst (Business Performance),Performance Analysis Communication Skills Microsoft Excel Planning Writing Problem Solving Research Microsoft Office Team Work/ Collaboration Organizational Skills Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Data Analyst (Finance),Data Analysis Microsoft Excel Communication Skills SQL Financial Analysis Writing Research Problem Solving Detail-Oriented Team Work/ Collaboration Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Data Analyst (General),Data Analysis SQL Microsoft Excel Communication Skills Writing Problem Solving Research Detail-Oriented Oracle Team Work/ Collaboration Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Data Analyst (Healthcare),Data Analysis SQL Microsoft Excel Communication Skills Research Writing SAS Problem Solving Microsoft Access Data Management Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Data Analyst (Marketing),Data Analysis SQL Microsoft Excel Communication Skills Salesforce Writing Research Team Work/ Collaboration Problem Solving Detail-Oriented Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Data Architect ,Data Architecture SQL Data Modeling Data Warehousing Data Management Communication Skills Extraction Transformation and Loading (ETL) Oracle Writing Data Integration SQL Data Architecture Data Warehousing Data Modeling Data Management SQL Data Architecture Data Modeling Data Management SQL Server Data Architecture Data Warehousing Data Management Big Data Data Analysis
Data Entry Clerk,Data Entry Detail-Oriented Microsoft Excel Typing Organizational Skills Communication Skills Computer Skills Writing Microsoft Office Scanners Data Entry Microsoft Excel Microsoft Office Microsoft Word Spreadsheets
Data Quality Analyst,Data Quality Data Analysis SQL Communication Skills Microsoft Excel Problem Solving Writing Data Management Research Team Work/ Collaboration Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Data Scientist,Python Machine Learning SQL Mathematics Research R Apache Hadoop Data Mining SAS Big Data Data Science Data Analysis Software Development Data Management Microsoft C# Data Science Software Development Data Management Microsoft C# Algorithm Development Python Data Science Software Development Data Management Algorithm Development artificial intelligence Ai IOT
Data Specialist ,Data Management Communication Skills Microsoft Excel Writing Problem Solving Detail-Oriented Data Quality Research Microsoft Office Planning SQL Database Administration SQL Server Database Design Data Warehousing Database Administration Database Design Data Warehousing Technical Support Data Management Database Administration Database Design Data Warehousing Technical Support Data Management
Data Warehouse Developer ,Data Warehousing SQL Communication Skills Extraction Transformation and Loading (ETL) Oracle Writing Team Work/ Collaboration Business Intelligence Data Management Problem Solving SQL Data Warehousing Data Management Data Quality Data Analysis Data Warehousing Data Management Project Management Business Intelligence Data Analysis Data Warehousing Data Management Project Management Business Intelligence Data Analysis
Data Warehousing Specialist ,Communication Skills SQL Data Warehousing Data Management Extraction Transformation and Loading (ETL) Writing Oracle Problem Solving Planning Team Work/ Collaboration SQL Data Warehousing Data Management Data Quality Data Analysis Data Warehousing Data Management Project Management Business Intelligence Data Analysis Data Warehousing Data Management Project Management Business Intelligence Data Analysis
Database Administrator ,SQL Database Administration Oracle Communication Skills Troubleshooting SQL Server Writing Planning Problem Solving Extraction Transformation and Loading (ETL) SQL Database Administration SQL Server Database Design Data Warehousing Database Administration Database Design Data Warehousing Technical Support Data Management Database Administration Database Design Data Warehousing Technical Support Data Management
Database Analyst / Developer ,SQL Communication Skills Database Administration Planning Team Work/ Collaboration Writing Microsoft Excel Customer Service Computer Skills Mentoring SQL Database Administration SQL Server Database Design Data Warehousing Database Administration Database Design Data Warehousing Technical Support Data Management Database Administration Database Design Data Warehousing Technical Support Data Management
Decision Support Analyst,Decision Support Communication Skills Microsoft Excel SQL Financial Analysis Accounting Research Writing Data Analysis Budgeting Operations Analysis Project Management Customer Service Process Improvement Data Analysis Microsoft Excel Microsoft Office Data Analysis Spreadsheets Data Management Microsoft Excel Microsoft Office Data Analysis Spreadsheets Data Management
Delivery Manager,Communication Skills Project Management Budgeting Organizational Skills Team Work/ Collaboration Writing Planning Problem Solving English Customer Service Planning Problem Solving Project Management Inventory Control Inventory Management Budgeting Scheduling Cost Control Change Management Accounting
Dental Assistant,Dental Assistance X-Rays Dentistry Oral Hygiene Infection Control Patient/Family Education and Instruction Communication Skills Cardiopulmonary Resuscitation (CPR) Dental Procedures Occupational Health and Safety Patient/Family Education and Instruction Dental Procedures Occupational Health and Safety Scheduling Patient Care Scheduling Dental Histories Oral Health Maintenance Treatment Planning HIPAA Scheduling Treatment Planning HIPAA Customer Service Front Office
Dental Hygienist,Dental Hygiene Oral Hygiene Dentistry Prophylaxis X-Rays Scaling Sealants Cardiopulmonary Resuscitation (CPR) Patient/Family Education and Instruction Treatment Planning Dental Hygiene Patient/Family Education and Instruction Patient Treatment Dental Care Occupational Health and Safety Patient/Family Education and Instruction Treatment Planning Instruction HIPAA Teaching
Dental Laboratory Technician,Repair Dentistry Team Work/ Collaboration Prosthetic Dentures Communication Skills Detail-Oriented English Articulate Prosthesis Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Dentist / Orthodontist / Prosthodontist,Dentistry Patient/Family Education and Instruction Planning Medical Records Maintenance Treatment Evaluation X-Rays Budgeting Dental Care Pediatrics Communication Skills Patient/Family Education and Instruction Dental Care Occupational Health and Safety Patient Care Patient Contact Patient/Family Education and Instruction Medical Records Maintenance Treatment Planning Staff Management Instruction
Detailer,Cleaning Detail-Oriented Communication Skills Organizational Skills Inspection Repair Customer Service AutoCAD Team Work/ Collaboration Equipment Cleaning Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships
Devops Engineer ,LINUX Python Chef Puppet Configuration Management JAVA Ruby Troubleshooting Git PERL Software Development JavaScript Python jQuery Web Development Problem Solving Troubleshooting Planning Web Development Debugging Communication Skills Writing Problem Solving Planning Web Development
Dialysis Registered Nurse,Dialysis Cardiopulmonary Resuscitation (CPR) Hemodialysis Patient Care Troubleshooting Communication Skills Computer Skills Microsoft Word Patient Direction Treatment Planning Patient Care Communication Skills Treatment Planning Planning Teaching Patient Care Communication Skills Treatment Planning Planning Teaching Patient Care Communication Skills Treatment Planning Planning Teaching
Dialysis Technician,Dialysis Patient Care Cardiopulmonary Resuscitation (CPR) Phlebotomy End Stage Renal Disease (ESRD) knowledge Hemodialysis Water Treatment Vital Signs Measurement Building Effective Relationships Patient Observation Patient Care Vital Signs Measurement Building Effective Relationships Patient Observation Patient Treatment Patient Care Vital Signs Measurement Building Effective Relationships Patient Observation Patient Treatment Patient Care Vital Signs Measurement Building Effective Relationships Patient Observation Patient Treatment
Diesel Mechanic,Repair Preventive Maintenance Inspection Troubleshooting Vehicle Maintenance Welding Computer Skills Hand Tools Oil Changes English Repair Preventive Maintenance Troubleshooting Vehicle Maintenance Electrical Systems Repair Preventive Maintenance Inspection Troubleshooting Vehicle Maintenance Repair Preventive Maintenance Troubleshooting Vehicle Maintenance Fuel Systems
Dietitian / Nutritionist,Dietetics Therapy Communication Skills Patient Care Supervisory Skills Microsoft Excel Microsoft Word Planning Microsoft Office Patient/Family Education and Instruction Therapy Communication Skills Patient Care Supervisory Skills Planning Therapy Communication Skills Patient Care Supervisory Skills Planning Therapy Communication Skills Patient Care Supervisory Skills Planning
Director of Case Management,Case Management Planning Writing Team Work/ Collaboration Communication Skills Staff Management Budgeting Supervisory Skills Managed Care Project Management Communication Skills Supervisory Skills Planning Patient Care Team Work/ Collaboration Communication Skills Supervisory Skills Planning Patient Care Team Work/ Collaboration Communication Skills Supervisory Skills Planning Patient Care Team Work/ Collaboration
Director of Compensation / Benefits,Communication Skills Planning Microsoft Excel Budgeting HRIS Project Management Team Work/ Collaboration Problem Solving Writing Microsoft Office Communication Skills Problem Solving Project Management Team Work/ Collaboration Organizational Skills Supervisory Skills Customer Service Staff Management Business Administration Business Strategy
Director of Human Resources,Employee Relations Communication Skills Performance Management Planning Writing Budgeting Problem Solving Team Work/ Collaboration Staff Management Supervisory Skills Employee Relations Human Resource Management Performance Management Supervisory Skills HRIS Employee Relations Human Resource Management Performance Management HRIS Onboarding Communication Skills Employee Relations Human Resource Management Performance Management Problem Solving
Director of Nursing,Supervisory Skills Budgeting Planning Patient Care Communication Skills Long-Term Care Scheduling Staff Management Cardiopulmonary Resuscitation (CPR) Organizational Skills Planning Patient Care Communication Skills Long-Term Care Organizational Skills Supervisory Skills Planning Patient Care Communication Skills Long-Term Care Supervisory Skills Planning Patient Care Communication Skills Long-Term Care
Director of Operations,Budgeting Communication Skills Planning Supervisory Skills Problem Solving Writing Staff Management Microsoft Excel Microsoft Office Operations Management Operations Management Budgeting Scheduling Microsoft Excel Customer Service Operations Management Customer Service Project Management Process Improvement Quality Assurance and Control Operations Management Planning Problem Solving Project Management Process Improvement
Director of Procurement / Sourcing,Procurement Purchasing Strategic Sourcing Communication Skills Contract Management Building Effective Relationships Planning Team Work/ Collaboration Budgeting Project Management Procurement Purchasing Strategic Sourcing Contract Management Supply Chain Management
Director of Program Management,Budgeting Planning Project Management Communication Skills Writing Problem Solving Team Work/ Collaboration Building Effective Relationships Scheduling Staff Management Program Management Project Management Budgeting Scheduling Project Planning and Development Skills Program Management Project Management Budgeting Scheduling Project Planning and Development Skills Program Management Project Management Budgeting Scheduling Microsoft Excel
Director of Project Management,Project Management Budgeting Planning Communication Skills Team Work/ Collaboration Writing Staff Management Problem Solving Project Planning and Development Skills Building Effective Relationships Project Management Budgeting Scheduling Project Planning and Development Skills Microsoft Project Project Management Budgeting Scheduling Project Planning and Development Skills Microsoft Project Project Management Budgeting Scheduling Project Planning and Development Skills Microsoft Excel
Director of Quality Assurance,Quality Assurance and Control Communication Skills Team Work/ Collaboration Staff Management Supervisory Skills Writing Planning Problem Solving Process Improvement Budgeting Quality Assurance and Control Microsoft Excel Project Management Budgeting Six Sigma Quality Assurance and Control Communication Skills Problem Solving Microsoft Excel Project Management Quality Assurance and Control Project Management Six Sigma Process Improvement Internal Auditing
Director of Rehabilitation,Rehabilitation Therapy Physical Therapy Occupational Therapy Rehabilitation Services Customer Billing Budgeting Patient Care Staff Management Supervisory Skills Rehabilitation Therapy Physical Therapy Occupational Therapy Rehabilitation Services Rehabilitation Therapy Physical Therapy Occupational Therapy Rehabilitation Services Rehabilitation Therapy Physical Therapy Occupational Therapy Rehabilitation Services
Director of Religious Education ,"Communication Skills Budgeting Planning Organizational Skills Writing Supervisory Skills Creativity Teaching Team Work/ Collaboration ""Childrens Ministry"" Content Development Content Management Content Management Systems (CMS) Concept Development Proofreading Data Collection Data Entry Data Management Data Analysis Microsoft Excel Job Evaluation Conflict Management Presentation Skills Administrative Support Building Effective Relationships"
